"","spe"
"Solyc02g081130.1.1",0.000260908546406144
"Solyc08g069180.2.1",8.54988940212385e-07
"Solyc08g076670.2.1",0.0227726973713723
"Solyc04g024840.2.1",1
"Solyc09g074310.2.1",0.225213671618080
"Solyc02g093990.2.1",1
"Solyc10g076590.1.1",0.0112541728340158
"Solyc07g055900.1.1",0.021359752769605
"Solyc04g077980.1.1",1
"Solyc01g067200.1.1",0.0588909497349492
"Solyc06g053570.2.1",0.0036760031820644
"Solyc05g007830.2.1",9.58502475706653e-07
"Solyc05g012730.1.1",0.0495320489369027
"Solyc10g007940.1.1",0.352695312950967
"Solyc12g087960.1.1",0.00350619264364944
"Solyc01g109380.2.1",0.142717259107767
"Solyc07g006310.1.1",1
"Solyc08g014340.2.1",1.99694349375666e-05
"Solyc02g090890.2.1",0.00129134607586022
"Solyc04g082270.2.1",0.00844988309338948
"Solyc12g044420.1.1",2.47893496984903e-06
"Solyc06g054220.2.1",5.8993803312638e-06
"Solyc04g054410.2.1",0.33442343897981
"Solyc01g009510.1.1",1
"Solyc06g068230.2.1",2.97120043151383e-08
"Solyc04g074580.1.1",0.00831880772125303
"Solyc06g051090.1.1",0.0300297352484005
"Solyc07g006220.1.1",0.0415924992629293
"Solyc02g064670.1.1",0.388747891920158
"Solyc02g084260.1.1",0.0226902060271684
"Solyc10g081020.1.1",1
"Solyc10g009540.1.1",3.00650608413261e-08
"Solyc12g019970.1.1",1
"Solyc08g045850.2.1",6.00550891085041e-06
"Solyc11g065610.1.1",1
"Solyc01g096670.2.1",0.520048487882393
"Solyc02g085390.2.1",0.000956477913906572
"Solyc06g069550.1.1",1
"Solyc01g065560.2.1",1
"Solyc09g075650.2.1",1
"Solyc07g043580.2.1",5.83016326379737e-05
"Solyc03g034000.2.1",1
"Solyc01g104220.2.1",0.00166297131562182
"Solyc05g056060.2.1",0.0573670746780577
"Solyc09g009790.2.1",0.22239797638214
"Solyc05g053740.2.1",1
"Solyc03g113980.2.1",0.635481549785793
"Solyc01g108280.2.1",0.00197065739997946
"Solyc01g067700.2.1",1
"Solyc07g047800.2.1",1.77562124976423e-08
"Solyc06g072340.2.1",9.60839855474388e-06
"Solyc11g007820.1.1",4.11725019010438e-05
"Solyc06g068620.2.1",0.00014054813908114
"Solyc01g108430.2.1",3.34924076025788e-05
"Solyc01g112220.2.1",6.71846354364372e-10
"Solyc10g047170.1.1",4.95777890698645e-07
"Solyc09g010630.2.1",1
"Solyc05g053850.2.1",0.157947317243367
"Solyc04g050240.2.1",1
"Solyc01g096340.2.1",0.000328540983529064
"Solyc10g007460.2.1",1
"Solyc07g045400.1.1",1
"Solyc04g039980.2.1",1
"Solyc04g026350.2.1",1
"Solyc11g007780.1.1",1
"Solyc06g076960.1.1",0.0240714383063133
"Solyc05g046140.2.1",3.81801621474694e-05
"Solyc03g119150.2.1",0.000375620179646901
"Solyc09g008080.2.1",0.0160895977903495
"Solyc08g077370.2.1",0.0405058518857566
"Solyc08g014350.1.1",0.0223299975247353
"Solyc08g007510.2.1",1
"Solyc06g074170.2.1",0.0114083648119231
"Solyc05g009100.2.1",0.00590737788442434
"Solyc06g051970.2.1",0.0401533085296543
"Solyc03g112910.2.1",0.00131564696695541
"Solyc01g112370.2.1",1
"Solyc06g005590.2.1",3.64531327814212e-05
"Solyc09g075200.2.1",0.00224819166523640
"Solyc03g114280.2.1",1
"Solyc09g009250.2.1",0.976983598179037
"Solyc10g083960.1.1",0.29647352533885
"Solyc02g093950.2.1",0.5690882152995
"Solyc12g096240.1.1",0.0584398327673786
"Solyc10g081350.1.1",0.0514750414690342
"Solyc02g080990.1.1",0.00540472879689522
"Solyc02g090250.2.1",1.98277021586e-05
"Solyc06g065310.2.1",0.00585922248754737
"Solyc04g055200.2.1",0.000154766825151720
"Solyc06g049030.2.1",0.00089237435329397
"Solyc03g051790.2.1",0.537395187980827
"Solyc08g060840.1.1",1
"Solyc04g050930.2.1",1
"Solyc01g080640.2.1",0.096673964957272
"Solyc11g064860.1.1",0.490833263541623
"Solyc11g005280.1.1",0.0215301914530558
"Solyc01g103750.2.1",0.00028185250753783
"Solyc12g014560.1.1",7.85756238681491e-07
"Solyc10g018010.1.1",5.20009879409153e-05
"Solyc02g063490.2.1",0.000506784642923328
"Solyc12g044230.1.1",0.173857997021035
"Solyc01g100300.2.1",1
"Solyc06g065820.2.1",2.36214061631676e-05
"Solyc10g007840.2.1",1.25283461522406e-07
"Solyc08g082820.2.1",2.00383001576519e-09
"Solyc02g092510.2.1",0.00338751024485150
"Solyc09g075400.2.1",6.31737475309306e-15
"Solyc04g081060.2.1",1
"Solyc01g090490.1.1",0.593354234417028
"Solyc03g116840.1.1",0.000967379601468121
"Solyc01g091200.2.1",0.0553117638069724
"Solyc06g083190.2.1",1.09371882954751e-12
"Solyc03g120840.1.1",0.0056889358591584
"Solyc12g055890.1.1",0.0450374198526616
"Solyc11g008620.1.1",0.000944297143371117
"Solyc08g016070.1.1",0.00884596535089634
"Solyc12g026420.1.1",0.00461074026886275
"Solyc05g012310.2.1",0.000427467718466875
"Solyc04g072850.2.1",6.11107347349858e-12
"Solyc02g070570.2.1",0.0115139840398385
"Solyc01g112320.2.1",1.56791101925361e-05
"Solyc11g068400.1.1",0.264985097010807
"Solyc05g007870.1.1",7.95887887288476e-06
"Solyc04g078410.2.1",0.34466511005779
"Solyc01g098490.2.1",4.40567387364149e-05
"Solyc11g045350.1.1",1
"Solyc04g050010.1.1",0.00027513607811073
"Solyc05g013170.2.1",1
"Solyc01g094220.2.1",0.249909064082385
"Solyc01g010580.2.1",0.000511770969517915
"Solyc01g081480.2.1",1
"Solyc06g048610.2.1",1
"Solyc01g006790.2.1",1
"Solyc07g065230.1.1",8.11785822874267e-06
"Solyc01g010060.2.1",3.00817856181909e-07
"Solyc11g008140.1.1",0.350656949792228
"Solyc01g087710.2.1",0.00384256454403233
"Solyc03g007390.2.1",0.9426916393922
"Solyc11g071190.1.1",1
"Solyc02g090900.2.1",0.00031893525014996
"Solyc11g005000.1.1",1
"Solyc05g008430.2.1",1
"Solyc10g083120.1.1",0.111257133695265
"Solyc02g087660.2.1",1
"Solyc01g087360.1.1",0.000198451753780940
"Solyc03g019790.2.1",1
"Solyc01g094780.2.1",0.338235667215279
"Solyc11g061980.1.1",1
"Solyc04g078690.2.1",1
"Solyc10g005250.2.1",0.0791301212886682
"Solyc06g065940.2.1",1
"Solyc06g072960.1.1",0.086873049313142
"Solyc12g014630.1.1",1
"Solyc10g080490.1.1",0.28661670113104
"Solyc03g006140.2.1",0.140943461734071
"Solyc10g081080.1.1",1
"Solyc05g054950.2.1",1
"Solyc08g081610.2.1",1
"Solyc07g045460.2.1",0.00282652903699534
"Solyc02g090100.1.1",0.38629186003518
"Solyc04g064680.2.1",0.284063153810408
"Solyc12g011340.1.1",2.64430816304044e-05
"Solyc01g068410.2.1",0.0110764245794777
"Solyc06g060300.1.1",1
"Solyc04g054490.2.1",5.94578345784534e-05
"Solyc04g016390.1.1",1
"Solyc01g087180.2.1",0.0392522041125508
"Solyc01g099450.2.1",1
"Solyc11g007390.1.1",0.106524718915843
"Solyc11g062350.1.1",0.0067814976405797
"Solyc02g081650.2.1",1
"Solyc01g008820.2.1",0.536069722170525
"Solyc06g063300.2.1",0.0540963253601014
"Solyc09g055870.2.1",0.117637451236965
"Solyc10g083190.1.1",0.546449864637824
"Solyc11g011080.1.1",7.33645517786858e-09
"Solyc05g050900.2.1",1
"Solyc06g054240.2.1",0.00092164701845831
"Solyc07g041200.2.1",0.163377291054672
"Solyc06g065200.2.1",1
"Solyc12g011180.1.1",1
"Solyc09g018370.2.1",2.30863811311426e-05
"Solyc05g006100.2.1",1
"Solyc10g006970.2.1",0.453143881158886
"Solyc03g079850.2.1",0.0205759931913137
"Solyc01g006560.2.1",0.000144556536690202
"Solyc09g091100.2.1",0.80706830513755
"Solyc03g007280.2.1",1
"Solyc03g113550.2.1",1
"Solyc10g005430.2.1",7.60299240229727e-14
"Solyc09g009970.2.1",1
"Solyc02g087340.2.1",0.00407247660319223
"Solyc10g045620.1.1",7.50196040456862e-07
"Solyc03g119610.1.1",0.0121053410421734
"Solyc05g052150.2.1",0.396661626121182
"Solyc02g080580.1.1",0.00255567006234577
"Solyc03g117790.1.1",0.000576477984035755
"Solyc04g054730.2.1",0.112427526436757
"Solyc01g005120.2.1",1
"Solyc10g075070.1.1",6.28975504993494e-05
"Solyc08g006680.2.1",0.973762641392924
"Solyc06g065320.2.1",0.0959759647977176
"Solyc02g094450.2.1",0.279827229782232
"Solyc10g006010.2.1",1
"Solyc01g095510.2.1",0.471483651609213
"Solyc07g042830.2.1",0.000113131913912928
"Solyc07g063700.1.1",1
"Solyc09g059260.2.1",0.00933804854194508
"Solyc08g079770.2.1",0.000141719928082358
"Solyc05g041920.2.1",1
"Solyc03g007510.2.1",1
"Solyc06g084580.1.1",0.00129643678418304
"Solyc01g096500.2.1",0.0011595874622528
"Solyc11g007710.1.1",0.000626258100562872
"Solyc03g034400.2.1",1.15123430738926e-08
"Solyc12g010550.1.1",1.06338196023150e-06
"Solyc09g018780.2.1",1
"Solyc09g005100.2.1",1.83590812274137e-08
"Solyc04g055000.2.1",0.0532613716014891
"Solyc12g088850.1.1",0.0452227376766961
"Solyc10g081520.1.1",1
"Solyc09g011380.2.1",0.561322012624479
"Solyc03g118070.2.1",1
"Solyc03g116100.2.1",0.00342174705447448
"Solyc06g064830.2.1",0.000445451574755775
"Solyc05g054210.2.1",0.00602375778584865
"Solyc11g042930.1.1",1
"Solyc01g103710.2.1",1
"Solyc04g071160.2.1",0.104513190809615
"Solyc10g005580.2.1",0.268802127679817
"Solyc09g010320.2.1",5.60448695707976e-05
"Solyc04g051830.2.1",0.190773398943981
"Solyc07g053470.2.1",0.0208017294703971
"Solyc00g006820.2.1",1
"Solyc02g082080.1.1",0.114152381587568
"Solyc07g066430.2.1",3.55480001374662e-09
"Solyc03g118650.2.1",0.511575688527005
"Solyc06g068060.2.1",0.00503776378454662
"Solyc06g075580.2.1",4.16071229254740e-05
"Solyc12g009220.1.1",1
"Solyc07g063900.2.1",0.000161247408173588
"Solyc04g007820.2.1",3.65527036544144e-05
"Solyc02g092710.2.1",0.331609722871228
"Solyc01g086920.2.1",1
"Solyc08g074590.2.1",0.495444942757217
"Solyc08g006910.2.1",5.55270207555091e-10
"Solyc08g078240.2.1",0.011713127596987
