"","SLY_SPI","SLY_SHA","SLY_SPE","SPI_SHA","SPI_SPE","SHA_SPE"
"Solyc02g081130.1.1",0.00550002486113648,1,0.0928397474165032,0.00751521877340128,0.131953412779687,0.103053123640521
"Solyc08g069180.2.1",0.0179046230540695,4.5243767004608e-05,0.00162395329406117,0.00619957715091086,1,0.0403469212620863
"Solyc06g053570.2.1",1,1,0.0295502925098078,0.237726291025749,0.00541509620255332,0.910818064580397
"Solyc05g007830.2.1",0.383787232031206,0.000397459404397414,1,0.000932332639624003,1,0.000344258186496529
"Solyc12g087960.1.1",1,0.248961242467184,0.484293998117141,0.0235338899139893,0.96235825514433,0.00831908236496208
"Solyc08g014340.2.1",0.0602812640355414,1,0.0612146521340478,0.00213546553980649,0.000625942959035398,0.719682841899766
"Solyc02g090890.2.1",0.134793064868022,0.00246311937045807,1,0.0674130247017013,1,0.0743889016359253
"Solyc04g082270.2.1",1,0.481783336650888,0.00836503511081505,0.705312416797184,0.00860907319348767,1
"Solyc12g044420.1.1",1,0.253110987494765,0.000756843851790648,0.222108536757389,0.0150166238337183,0.000298738357420836
"Solyc06g054220.2.1",1,0.000172083786768609,0.000172083786768609,0.00599336618410008,0.00599336618410008,1
"Solyc06g068230.2.1",1,0.126160795727724,0.000166947676528761,0.00133775674252438,1.97832349184838e-06,0.00403542547186144
"Solyc04g074580.1.1",0.97942512316555,0.0102756600938117,1,0.0379084294353741,1,0.245212366603537
"Solyc10g009540.1.1",0.373671099192071,4.00962568469401e-05,0.000237645553441523,0.000110551721451166,0.000631951605673755,1
"Solyc08g045850.2.1",1,0.00122055140425235,1,0.000476341373754085,1,0.00168559618351577
"Solyc02g085390.2.1",1,0.960002336492563,0.0250745144205687,1,0.0703270828992393,0.0015796705645918
"Solyc07g043580.2.1",0.001983719571096,1,0.014564866413559,0.00287906525009328,1,0.0180855204227324
"Solyc01g104220.2.1",0.978555326918886,1,0.032525337810326,0.173849582034641,0.52767890163693,0.0116197692655565
"Solyc01g108280.2.1",0.0786059971254554,0.130062058479680,0.331446298255965,0.000547649309344834,0.0243702859275793,1
"Solyc07g047800.2.1",1,1,0.000553715728747827,1,7.37443986883948e-05,0.000111365065364980
"Solyc06g072340.2.1",1,0.00331646073018358,0.000628435695286267,0.120456129764753,0.00430414325411894,0.0531115498059839
"Solyc11g007820.1.1",1,0.00893182649927534,0.00893182649927534,0.002764189280625,0.002764189280625,1
"Solyc06g068620.2.1",1,1,0.0130253019584976,1,0.0194119995435844,0.0219643583666735
"Solyc01g108430.2.1",1,0.0169423944335506,0.00672214313140098,0.00273686513894909,0.000770868167805873,1
"Solyc01g112220.2.1",1,1,4.41888276220196e-05,1,3.18814861860129e-06,4.22649655804345e-05
"Solyc10g047170.1.1",1,1,0.000355328562231592,1,0.000405741623416037,0.00113305609275425
"Solyc01g096340.2.1",1,1,0.0103242726160579,1,0.0141140196514934,0.0471418853130298
"Solyc05g046140.2.1",0.135593140942365,0.00930982127518047,0.00768134726706481,0.0426710738818189,0.0279963047438623,1
"Solyc03g119150.2.1",0.0293453083410393,0.00385820079802382,0.0284582944144505,1,1,1
"Solyc05g009100.2.1",1,0.00209114533589860,0.184141804158428,0.0209474290158587,1,1
"Solyc03g112910.2.1",0.00994004608355407,1,1,0.413895329178674,0.00147360743085881,0.227448179308031
"Solyc06g005590.2.1",1,0.272852526973133,0.0098559576253316,0.0251406062857787,0.0998522414748022,5.90870645663935e-05
"Solyc09g075200.2.1",0.072625652706384,0.194277840324087,0.622927994154446,1,0.0242049681774143,0.0452791915012182
"Solyc02g080990.1.1",0.0101348831762005,1,1,0.0868753854926202,0.00629570655166633,1
"Solyc02g090250.2.1",0.0365838974917576,0.00219696214721700,0.00241827527554367,0.056153600706227,0.267561481509605,1
"Solyc06g065310.2.1",1,0.0049684756178434,1,0.0167237413220651,1,0.0586304400328583
"Solyc04g055200.2.1",1,1,0.000436191677012677,1,0.00114125095910948,0.0146977214187709
"Solyc06g049030.2.1",1,1,0.058266340060388,1,0.0138233561440804,0.0210155836145749
"Solyc01g103750.2.1",1,0.697638225942247,0.00353495780274391,1,0.00344702435710355,0.00338426230117865
"Solyc12g014560.1.1",1,1,3.3851556421814e-06,1,3.69476107636287e-06,0.000480106085368809
"Solyc10g018010.1.1",1,0.560440536595438,0.00994254059441468,1,0.0140219084237587,1.86743209040899e-05
"Solyc02g063490.2.1",1,1,0.0385869188005734,0.0682054249932601,0.196400279350029,0.0019459692716815
"Solyc06g065820.2.1",0.0154651670224270,0.00107233187382970,0.00115530804716613,0.48099252436264,1,1
"Solyc10g007840.2.1",0.0401343624107581,0.00706966387296388,0.00873147019571954,0.175158468606713,4.79125865016995e-05,0.000127343442164252
"Solyc08g082820.2.1",0.0658566670118797,0.000103607275920946,0.00565153508607425,0.00705557140431285,0.000350135465568292,8.83868064676175e-06
"Solyc02g092510.2.1",0.0193180533998485,0.0212410720990346,1,1,0.150459979233965,0.187525836264399
"Solyc09g075400.2.1",0.0776942441344259,1,1.41486408237319e-06,1,3.52865206088902e-07,7.8825272312095e-07
"Solyc03g116840.1.1",0.212225386734388,1,0.788655692473955,0.544462346305396,9.51342422196048e-05,0.00468080797031807
"Solyc06g083190.2.1",0.000170270558683812,0.217775054960862,1.58140796265644e-05,0.003896058601912,3.22405213770208e-08,1.70757890685145e-06
"Solyc03g120840.1.1",1,1,0.01654653941554,1,0.0100607104044988,0.0400029967384906
"Solyc11g008620.1.1",0.00705171816572043,0.00139150900645644,0.0177683019053667,0.329866989147608,1,1
"Solyc08g016070.1.1",1,0.0275907376355075,0.0172637879444170,0.435184031457481,0.156436088006468,1
"Solyc12g026420.1.1",1,0.00949257849511425,1,0.0221776109757057,0.633540425367062,0.00196881778793718
"Solyc05g012310.2.1",0.000179288544698048,0.0248953187234722,1,0.431949477278855,0.0143675645398462,0.425528603244383
"Solyc04g072850.2.1",0.000771007327449004,5.708909550908e-06,1,3.3746087255376e-07,0.0117586632492813,4.56603850497410e-05
"Solyc01g112320.2.1",1,0.0334291843202228,0.00126307860894769,0.00801940309351176,0.000410159653336038,1
"Solyc05g007870.1.1",1,0.00139610201043542,0.000716582114216998,0.0072098081187112,0.00390110462430774,1
"Solyc01g098490.2.1",0.417195422238932,1,0.0399502255764484,0.014939882379412,0.000633857381067811,0.0215653270726273
"Solyc04g050010.1.1",0.021875520544495,0.0127145739809243,0.00205190527586271,1,0.716251208294745,1
"Solyc01g010580.2.1",0.391956318411813,0.0715677611551427,0.298246920245881,1,0.00712513634119288,0.00546633393087517
"Solyc07g065230.1.1",1,1,0.000954593262304842,1,0.000768940649838483,0.00535204016274297
"Solyc01g010060.2.1",1,1,0.00152455632839869,1,0.00131158193405645,0.00279067455703399
"Solyc01g087710.2.1",0.0645045798903891,0.0402934300312236,0.0129048929375005,1,0.296328621078332,1
"Solyc02g090900.2.1",1,0.0151029767010042,1,0.0728320737977939,0.167154492926564,0.00330420631126425
"Solyc01g087360.1.1",0.00092718385748492,0.0470463243937432,0.00344861731930142,0.216613542839724,1,0.534074089710148
"Solyc07g045460.2.1",1,0.0467994375060619,1,0.000719132607688844,0.498218094207312,0.00147350128073190
"Solyc12g011340.1.1",0.0269337471706061,0.000528818287473027,0.0013244936475459,0.66438791081533,1,1
"Solyc04g054490.2.1",1,0.000932332639624003,0.0348470883158992,0.00371678777397724,0.23975830701049,0.202158458523184
"Solyc11g062350.1.1",1,0.200826985990282,0.69024151413598,1,0.117096875578127,0.00725816173135295
