"","SLY","SPI","SHA","SPE"
"Solyc02g081130.1.1",0.42857142857143,5.71428571428572,0.285714285715784,2.57142857142857
"Solyc08g069180.2.1",12.0000000000016,26.4285714285768,55.8571428571429,33.2857142857144
"Solyc08g076670.2.1",54,41,52.4285714285715,72.428571428573
"Solyc04g024840.2.1",24.5714285714452,23.5714285730568,16.5714285718414,20.571428574334
"Solyc09g074310.2.1",14.8571428571429,16.7142857142881,19.2857142857145,23
"Solyc02g093990.2.1",2.71428571428572,1.42857142857156,1.71428571428571,1.57142857148367
"Solyc10g076590.1.1",37.5714285714286,39.4285714285714,35.5714285714286,51.8571428571429
"Solyc07g055900.1.1",10.8571428571437,14.0000000000025,8.71428571428571,6.71428571428599
"Solyc04g077980.1.1",17.1428571428586,14.7142857142857,20.7142857142857,23.1428571428572
"Solyc01g067200.1.1",1.57142857142857,1.42857142857143,1.12535174719199e-08,1.14285714285714
"Solyc06g053570.2.1",96.7142857142856,105.714285714286,83.9999999999999,68.5714285714285
"Solyc05g007830.2.1",170.142857142857,204.571428571428,297.285714285714,192.571428571428
"Solyc05g012730.1.1",1.14285714285714,0.142857142857143,0.285714285715784,2.71428571428571
"Solyc10g007940.1.1",2.42857142857171,3.71428571428572,2.14285714285714,0.714285715918372
"Solyc12g087960.1.1",26.5714285714289,23.8571428571429,37.7142857142858,16.5714285716029
"Solyc01g109380.2.1",8.5714285714339,6.42857143011264,7.28571428695165,13.4285714285714
"Solyc07g006310.1.1",2.57142857142858,1.71428571428571,1.71428571428571,5.28571428571428
"Solyc08g014340.2.1",736.857142857139,936.999999999996,650.714285714283,559.42857142857
"Solyc02g090890.2.1",1143.99999999999,1344.99999999999,1689.71428571428,1265.14285714285
"Solyc04g082270.2.1",20.8571428571429,19.0000000000000,9.2857142857143,4.2857142857143
"Solyc12g044420.1.1",29.1428571428572,34.2857142857196,20.4285714285725,69.1428571428572
"Solyc06g054220.2.1",1.57142857142857,2,1.52299797447169e-09,1.52299797447140e-09
"Solyc04g054410.2.1",15.4285714285714,19.8571428571429,18.7142857142888,13.2857142857143
"Solyc01g009510.1.1",1.14285714286823,1.00000000470516,1.42857142869396,0.714285715918372
"Solyc06g068230.2.1",2295.00000000000,2575.14285714286,1798.28571428571,1209.42857142857
"Solyc04g074580.1.1",216.428571428572,259.428571428572,391.142857142858,258.000000000034
"Solyc06g051090.1.1",2,3.28571428571429,0.57142857142857,0.285714285715784
"Solyc07g006220.1.1",244.285714285715,185.714285714286,242.000000000000,215.285714285715
"Solyc02g064670.1.1",177.714285714298,266.000000000013,289.571428571629,188.714285714299
"Solyc02g084260.1.1",0.285714285715784,0.714285714285771,4,0.714285714285715
"Solyc10g081020.1.1",447.857142857144,431,487.857142857143,484.714285714286
"Solyc10g009540.1.1",1.42857142857506,4,34.8571428571428,38
